"Species.Name","AOU","Region","Region.Name","shrunk_trend","shrunk_trend_lci","shrunk_trend_uci","Original_Trend","Original_Trend_lci","Original_Trend_uci"
"Orchard Oriole",5060,"S28","Appalachian Mountains                   ",-0.973660807983443,-1.45061723832747,-0.504117846391005,-0.99,-1.48,-0.52
"Baltimore Oriole",5070,"S28","Appalachian Mountains                   ",-0.956888369245524,-1.31283246105565,-0.616702742750206,-0.96,-1.3,-0.62
"Common Grackle",5110,"S28","Appalachian Mountains                   ",-2.13188775844895,-2.42398698795199,-1.83060067407732,-2.14,-2.45,-1.87
"Purple Finch",5170,"S28","Appalachian Mountains                   ",-0.0680185646057074,-0.700024717369358,0.573884455487238,-0.07,-0.73,0.58
"House Finch",5190,"S28","Appalachian Mountains                   ",8.4344518994773,6.81168977409174,10.0402048925851,9.25,7.4,10.89
"Red Crossbill",5210,"S28","Appalachian Mountains                   ",0.648361002834892,-4.08731290189041,5.73882040842212,4.01,-5.1,19.23
"American Goldfinch",5290,"S28","Appalachian Mountains                   ",-1.15906317815133,-1.46064511248411,-0.869865183644601,-1.16,-1.46,-0.87
"Pine Siskin",5330,"S28","Appalachian Mountains                   ",0.0250097112208302,-4.34178852673294,4.57041259534112,0.37,-7.26,9.09
"Vesper Sparrow",5400,"S28","Appalachian Mountains                   ",-6.51592174290454,-7.30598106033277,-5.72177074654374,-6.68,-7.49,-5.85
"Savannah Sparrow",5420,"S28","Appalachian Mountains                   ",-3.52931393793745,-4.10841188115834,-2.95806687352343,-3.57,-4.17,-2.99
"Grasshopper Sparrow",5460,"S28","Appalachian Mountains                   ",-5.42318468467877,-6.09055160781907,-4.71599367594983,-5.51,-6.19,-4.83
"Henslow's Sparrow",5470,"S28","Appalachian Mountains                   ",-4.83830837768222,-6.78972347896167,-2.80508704941176,-5.66,-7.84,-3.61
"White-throated Sparrow",5580,"S28","Appalachian Mountains                   ",-1.02596484823149,-2.02199186200614,-0.0765671574410798,-1.06,-2.16,-0.14
"Chipping Sparrow",5600,"S28","Appalachian Mountains                   ",-1.28995187199319,-1.50110081716518,-1.08259612552431,-1.29,-1.49,-1.08
"Clay-colored Sparrow",5610,"S28","Appalachian Mountains                   ",-0.587709632746114,-3.68452184343069,2.59716590525253,-0.7,-5.36,2.22
"Field Sparrow",5630,"S28","Appalachian Mountains                   ",-2.63808902522289,-2.8998548556306,-2.37737258684269,-2.64,-2.9,-2.38
"Bachman's Sparrow",5750,"S28","Appalachian Mountains                   ",-0.268128256454591,-3.63796269483067,3.18327127189047,-0.43,-5.18,3.91
"Song Sparrow",5810,"S28","Appalachian Mountains                   ",-0.338239487132506,-0.499532433897651,-0.1761963962865,-0.34,-0.51,-0.18
"Swamp Sparrow",5840,"S28","Appalachian Mountains                   ",0.940629584479892,0.314484305678755,1.58016811743548,0.96,0.35,1.64
"Eastern Towhee",5870,"S28","Appalachian Mountains                   ",-1.01120424777575,-1.21763935014288,-0.811254927331856,-1.01,-1.21,-0.81
"Northern Cardinal",5930,"S28","Appalachian Mountains                   ",0.0218979724163225,-0.154898698253712,0.198607561772653,0.02,-0.16,0.19
"Rose-breasted Grosbeak",5950,"S28","Appalachian Mountains                   ",-0.128842571982708,-0.612341319434052,0.352483613648554,-0.13,-0.61,0.36
"Blue Grosbeak",5970,"S28","Appalachian Mountains                   ",-0.382305066908288,-0.867906074387136,0.0976500183432455,-0.38,-0.86,0.12
"Indigo Bunting",5980,"S28","Appalachian Mountains                   ",-1.3675048610963,-1.5420320764052,-1.19185761214055,-1.37,-1.54,-1.19
"Dickcissel",6040,"S28","Appalachian Mountains                   ",0.981902451015914,-2.25736261765016,4.35083449395309,1.58,-2.56,5.4
"Scarlet Tanager",6080,"S28","Appalachian Mountains                   ",0.227758309312606,-0.0782107194977985,0.537667019190704,0.23,-0.09,0.54
"Summer Tanager",6100,"S28","Appalachian Mountains                   ",-1.67729476038168,-2.2500865333666,-1.10221132931728,-1.7,-2.28,-1.09
"Purple Martin",6110,"S28","Appalachian Mountains                   ",-1.64256589781297,-2.41545565910555,-0.864499171471343,-1.68,-2.49,-0.92
"Cliff Swallow",6120,"S28","Appalachian Mountains                   ",4.32560596429215,2.36757593720666,6.34545674732566,4.96,2.91,7.08
"Barn Swallow",6130,"S28","Appalachian Mountains                   ",-0.158025891170015,-0.403674541361432,0.0927052478576058,-0.16,-0.4,0.09
"Tree Swallow",6140,"S28","Appalachian Mountains                   ",3.11179589577669,2.40414596754448,3.8420346900541,3.18,2.45,3.92
"Bank Swallow",6160,"S28","Appalachian Mountains                   ",-3.98792619964429,-6.07717327856137,-1.83151427348804,-4.73,-6.96,-2.5
"Northern Rough-winged Swallow",6170,"S28","Appalachian Mountains                   ",0.0756273794911672,-0.549652100552426,0.700108348038883,0.08,-0.57,0.7
"Cedar Waxwing",6190,"S28","Appalachian Mountains                   ",1.7491284355028,1.1632033970414,2.32896669384977,1.77,1.19,2.36
"Loggerhead Shrike",6220,"S28","Appalachian Mountains                   ",-4.78201692385138,-5.98221940859677,-3.62009669893115,-5.05,-6.31,-3.83
"Red-eyed Vireo",6240,"S28","Appalachian Mountains                   ",0.355659258296385,0.177009700253673,0.535718737461802,0.36,0.18,0.54
"Warbling Vireo",6270,"S28","Appalachian Mountains                   ",-0.398102630712709,-0.941517636433414,0.131853261035736,-0.4,-0.91,0.15
"Yellow-throated Vireo",6280,"S28","Appalachian Mountains                   ",0.0533707267092507,-0.444587218381054,0.547968013085317,0.05,-0.47,0.53
"Blue-headed Vireo",6290,"S28","Appalachian Mountains                   ",2.50693391373001,1.48739319803955,3.56632383627645,2.61,1.5,3.68
"White-eyed Vireo",6310,"S28","Appalachian Mountains                   ",0.246203701867874,-0.236688176298949,0.718840263191262,0.25,-0.22,0.76
"Black-and-white Warbler",6360,"S28","Appalachian Mountains                   ",-1.66839863582091,-2.21968507264348,-1.06098382488685,-1.69,-2.26,-1.12
"Prothonotary Warbler",6370,"S28","Appalachian Mountains                   ",-1.89095314925456,-3.31808489856113,-0.44871889370008,-2.04,-3.68,-0.66
