"","AOS60","species","lon.b","lat.b","lon.w","lat.w","dst.km","area.b","area.w","area.r","area.p","Common.Name","Scientific.Name","group","order","family","taxonomic.notes","Canada","USA","Mexico","C.America","Mig.Status","Introduced","Nonbreeding.only","PS.g","PS.g_s","PS.g_com","Global.Pop.Size","Global.Pop.Size.","Pop.Size_US.Ca","Pop.Size_US.Ca.","PopYr","Pop.Size_US.Ca_s","Pop.Size_US.Ca_com","X.GL_WH","X.WH_US.Ca","X..Breeding.Pop.in.US...Canada","X..Breeding.Pop.in.US...Canada.","X.Pop_s","BD.g","BD.area","BD.g_s","BD.g_com","ND.g","ND.area","ND.g_s","ND.g_com","TB.c","TB.c_s","TB.c_com","TN.c","TN.c_s","TN.c_com","PT.c","PT.c_s","PT.c_com","trend....yr.","trend.source","lcl_90.CI","ucl_90.CI","lcl_67.CI","ucl_67.CI","RA","DF","pop.change","pop.change.90..lcl","pop.change.90..ucl","Half.Life","CCS.b","CCS.n","CCS.max","Continental.Importance","IUCN.Red.List.2018","Urban","Agriculture","Breeding.Biome","Nonbreeding.Biome","Primary.Breeding.Habitat","Secondary.Breeding.Habitat","Primary.Nonbreeding.Habitat","Secondary.Nonbreeding.Habitat","IOC..","Latin..BirdLife...IOC...Clements.","English","Gill.et.al.2020..IOC.World.Bird.List..v10.2.","HBW.and.BirdLife.International..2019.","eBird.Clements.Checklist.v2019","IOC.present","HBW.BL.present","Clements.present","OtLatin","OtLat2","OtEnglish","Order","Family","Genus","Species","IUCN.Red.List.category","Restricted.Range","Country.Endemic","ISL","RLM","LAT","HEM","Average.Body.Mass","F","BM","WD","SH","SV","G","PL","R","D","A","RV","C","W","SE","O","Primary.Habitat","HB","Birdlife.Forest.Dependency","DB","Primary.Diet","IN","FR","NE","SE.1","VE","FI","SC","PL.1","MS","Foraging.Layer","LayH1","LayH2","LayMn","Flock","Carn.sum","Herb.sum","Nest","SBS","H1","H2","H.Avg","Clutch..Min","Clutch.Max","Clutch.Ave","Inc1","Inc2","Fledge","Fld2","Fld2.fld1","Mig","Alt","Irreg","Disp","Known.Bird.Annual.Survival","Known.Bird.Age.at.First.Breeding","Known.Bird.Longevity","Modelled.Bird.Annual.Survival","Modelled.Bird.Age.at.first.breeding","Modelled.Bird.Longevity","Modelled.Bird.GenLength","SpcAuthority"
"47",75,"Bucephala clangula",35.56552863,58.50830302,-27.1821677,40.97893248,4714,2208294,1499513,0,0,"Common Goldeneye","Bucephala clangula","waterfowl","Anseriformes","Anatidae","",1,1,1,0,"PM",NA,NA,3,"NAWMP 2012; WPE5","","2,500,000",2500000,"1,200,000",1200000,NA,"NAWMP 2012","Estimate is for ""Goldeneyes"" but similar to 2012 estimates of COGO",40,99.9172821,"48",48,"NAWMP 2012; WPE5",1,18174728,"Natureserve, with Old World extrapolation","",1,22700635,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",2,"CWS reviewers 2018","Reduced score during calibration with TB-r.  Josh Vest and Greg Soulliere agreed.",3,"Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017","threats include invasive species and changes in prey communities, contamination from increased shipping and/or coastal development, and again, the unpredictable effects of climate change on wetland and estuarine quality (FWS Mig Birds/ Sea Duck JV 2017).",2,"BBS7017","",0.749,"BBS7017",-0.01,1.5,0.273,1.21,0.261,362,41.6472871,7.6012878,98.1177697,NA,8,9,9,"","LC","","","Northern Forest","Nearctic","Wetlands—Forested","Wetlands—Lakes and Rivers","Coasts—Marine Waters","Wetlands—Lakes and Rivers",1759,"Bucephala clangula","Common Goldeneye","Bucephala clangula","Bucephala clangula","Bucephala clangula","YES","YES","YES","","","","Anseriformes","Anatidae","Bucephala","clangula","LC","0","NO",0,"NP",4,1,981.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,"","Wetland",3,"Medium",5,"Invertebrate","7","","","2","T","1","","T","","W","",NA,NA,NA,8,2,"CV","T","","",NA,1,28,9.5,28,32,57,66,9,1,NA,NA,NA,0.64,3,"20.42",0.65,2.54,18.4,7.11,"(Linnaeus, 1758)"
"48",76,"Bucephala islandica",-124.04804986,56.43399366,-128.20173754,53.93302184,384,225798,307647,42229,0,"Barrow's Goldeneye","Bucephala islandica","waterfowl","Anseriformes","Anatidae","Monotypic.",1,1,0,0,"PM",NA,NA,4,"NAWMP 2018","non-breeding surveys, 2/3 adjustment applied","180,000",180000,"180,000",180000,NA,"NAWMP 2018","non-breeding survey, 2/3 adjustment applied to estimate breeding adults",98,100,"98",98,"eBrd17(UsCa,WHem), PIF(Glob)",2,2301140,"Natureserve, with Old World extrapolation","",2,1840457,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",3,"Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017","",3,"Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017","why is non-breeding BAGO a 2 while other Pacific wintering species are 3? (FWS Mig Birds/ Sea Duck JV 2017)",4,"BBS7017","Rosenberg 2019: BBS trend seems pretty well supported (99 routes, with declines in all regions)",-1.412,"BBS7017",-2.82,-0.28,-2.247,-0.718,0.257,89,-44.56942764,-65.88822563,-12.45973492,NA,13,13,13,"","LC","","","Northern Forest","Nearctic","Wetlands—Forested","Wetlands—Lakes and Rivers","Coasts—Marine Waters","Wetlands—Lakes and Rivers",1762,"Bucephala islandica","Barrow's Goldeneye","Bucephala islandica","Bucephala islandica","Bucephala islandica","YES","YES","YES","","","","Anseriformes","Anatidae","Bucephala","islandica","LC","0","NO",0,"NP",3,1,1020.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,"","Wetland",3,"Medium",3,"Invertebrate","8","","","1","","","","1","","W","",NA,NA,NA,8,2,"CR,CV","G,T","0","16",NA,6,14,9.5,28,34,56,NA,56,1,NA,1,NA,0.65,3,"18",0.65,2.54,18.27,6.6,"(Gmelin, 1789)"
"49",78,"Lophodytes cucullatus",-92.63299171,44.43006214,-100.19722419,40.20142486,780,551040,558507,342503,117328,"Hooded Merganser","Lophodytes cucullatus","waterfowl","Anseriformes","Anatidae","Monotypic.
",1,1,1,1,"PM",NA,NA,3,"NAWMP 2012","","1,100,000",1100000,"1,100,000",1100000,NA,"NAWMP 2012","NAWMP 2012 plan provides species-level estimate; NAWMP 2018 says 1,331,000 mergansers combined, but does not separate spp",100,99.99742126,"99.99742",99.99742126,"eBrd17(UsCa,WHem)",1,5452014,"Natureserve","",1,5574262,"Natureserve","",3,"PIFTC-02","",2,"PIFTC-02","",1,"BBS7017","Shaw 2020: CBC trend similar",4.665,"BBS7017",3.9,5.43,4.227,5.148,0.026,438,696.5340937,439.4731448,1025.652124,NA,8,7,8,"","LC","","","Northern Forest","Nearctic","Wetlands—Forested","Wetlands—Lakes and Rivers","Wetlands—Lakes and Rivers","",1764,"Lophodytes cucullatus","Hooded Merganser","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","YES","YES","YES","","","","Anseriformes","Anatidae","Lophodytes","cucullatus","LC","0","NO",0,"N",3,1,681.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,"","Wetland",3,"Medium",5,"Invertebrate","6","","","T","T","4","","T","","W","",NA,NA,NA,10,0,"CV","B,G,T","","",NA,6,18,NA,29,37,71,NA,71,1,NA,NA,NA,0.74,2,"11.5",0.64,1.77,12.89,4.51,"(Linnaeus, 1758)"
"50",79,"Mergus merganser",29.87951344,54.94450608,-18.47511473,39.50794465,3944,2491596,1302945,348614,91125,"Common Merganser","Mergus merganser","waterfowl","Anseriformes","Anatidae","",1,1,1,0,"PM",NA,NA,3,"NAWMP 2012; WPE5","","1,900,000",1900000,"1,200,000",1200000,NA,"NAWMP 2012","NAWMP 2012 plan provides species-level estimate; NAWMP 2018 says 1,331,000 mergansers combined, but does not separate spp",30,NA,"",NA,"eBrd17(UsCa,WHem), PIF(Glob)",1,24673827,"Natureserve, with Old World extrapolation","",1,22767150,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",2,"PIFTC-02","",2,"PIFTC-02","",3,"BBS7017","PIFSC-19: BBS trend supported by Canadian Coastal Waterfowl Survey.  Most aerial surveys don't differentiate at the species level, so can't use USFWS Breeding Population surveys.",-0.438,"BBS7017",-1.42,0.31,-0.997,0.01,0.263,931,-17.61714175,-43.19159678,23.7045475,NA,9,9,9,"","LC","","","Northern Forest","Nearctic","Wetlands—Forested","Wetlands—Lakes and Rivers","Wetlands—Lakes and Rivers","",1767,"Mergus merganser","Goosander","Mergus merganser","Mergus merganser","Mergus merganser","YES","YES","YES","","","","Anseriformes","Anatidae","Mergus","merganser","LC","0","NO",0,"NP",3,1,1500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,"","Wetland",4,"Medium",4,"Fish","1","","","","T","9","","T","","W","",NA,NA,NA,10,0,"CV,O","B,G,T","15","",NA,4,22,9.5,30,32,60,70,10,1,NA,NA,NA,0.6,2,"14.83",0.6,1.96,17.74,5.05,"Linnaeus, 1758"
"51",80,"Mergus serrator",26.85843475,60.85780354,-22.82971784,42.20749923,3890,2363291,430367,9516,938408,"Red-breasted Merganser","Mergus serrator","waterfowl","Anseriformes","Anatidae","Monotypic.",1,1,1,1,"M",NA,NA,3,"NAWMP 2012; WPE5","3 of 5 estimates in WPE were non-breeding survveys, assumed other two were also; only NAWMP assumed to be breeding survey","600,000",600000,"400,000",400000,NA,"NAWMP 2012","NAWMP 2012 plan provides species-level estimate; NAWMP 2018 says 1,331,000 mergansers combined, but does not separate spp",40,NA,"",NA,"eBrd17(UsCa,WHem), PIF(Glob)",1,19960485,"Natureserve, with Old World extrapolation","",2,2446473,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",2,"PIFTC-02","",2,"PIFTC-02","",3,"PIFSC-20","Rosenberg 2020: because CBC (annual trend = 0.5538%) and BBS (annual trend = -3.25%) so conflicting, and neither survey is obviously better, PT=3 for uncertainty",-3.25,"BBS7017*",-5.52,-1.12,-4.565,-1.999,0.067,71,-73.24764358,-92.23542795,-32.58493912,NA,9,10,10,"","LC","","","Arctic","Nearctic","Wetlands—Tundra","Wetlands—Boreal","Coasts—Marine Waters","Coasts—Beach and Estuary",1771,"Mergus serrator","Red-breasted Merganser","Mergus serrator","Mergus serrator","Mergus serrator","YES","YES","YES","","","","Anseriformes","Anatidae","Mergus","serrator","LC","0","NO",0,"NP",3,1,1074.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,"","Wetland",3,"Non-forest",3,"Fish","2.3","","","","","7.7","","T","","W","",NA,NA,NA,10,0,"CV","G","","",NA,6,14,9,28,35,59,69,10,1,NA,NA,NA,NA,2,"21.25",0.62,1.98,17.86,5.73,"Linnaeus, 1758"
"52",81,"Nomonyx dominicus",-57.2693507,-10.74279565,-57.2693507,-10.74279565,0,839876,839876,839876,0,"Masked Duck","Nomonyx dominicus","waterfowl","Anseriformes","Anatidae","Monotypic.",0,1,1,1,"R",NA,NA,4,"Gomez-Panjabi–PS-g midpoint","","200,000",200000,"<10",10,NA,"Gustafson-19","nesting twice per Lockwood and Freeman (2014).  Other nesting records are presumed.  Safe to say population is tiny. (Gustafson-19)",100,0.568182945,"<1",0.005,"Gomez-Panjabi; Gustafson-19",1,8424454,"Natureserve","",1,8424454,"Natureserve","",3,"TrUST 2016","Some range expansion into Texas, but Mexicans scored 3/3, so 3/3 it is (TrUST 2016).",3,"TrUST 2016","Some range expansion into Texas, but Mexicans scored 3/3, so 3/3 it is (TrUST 2016).",3,"NAWMP 2004","unknown",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,"","LC","","","Neotropical","Neotropical","Wetlands—Freshwater Marsh","","Wetlands—Freshwater Marsh","",1776,"Nomonyx dominicus","Masked Duck","Nomonyx dominicus","Nomonyx dominicus","Nomonyx dominicus","YES","YES","YES","Oxyura dominica","","","Anseriformes","Anatidae","Nomonyx","dominicus","LC","0","NO",0,"L",2,2,382,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,"","Wetland",3,"Low",3,"Seed","2","","","2","","","","6","","W","",NA,NA,NA,2,8,"","W","","",NA,3,6,NA,28,NA,45,NA,45,NA,NA,1,1,NA,NA,"",0.69,1.71,15.23,4.33,"(Linnaeus, 1766)"
"53",82,"Oxyura jamaicensis",-106.68557116,42.98920901,-101.95707481,30.8633745,1409,673165,469433,226372,314263,"Ruddy Duck","Oxyura jamaicensis","waterfowl","Anseriformes","Anatidae","",1,1,1,1,"M",NA,NA,3,"PIFcalc19","only 1,500 breed in the Caribbean (NAWMP 2012), sporadic local breeder in Mexico and Central America (BNA Brua 2002) so pop size unknown but presumably relatively small, with 3,500 naturalized in Europe as of 1992 (but expanding, BNA Brua 2002), so no difference from global estimate given the uncertainty in the estimates","1,300,000",1300000,"<1,300,000",1300000,2010.5,"PIFcalc19","only 1,500 breed in the Caribbean (NAWMP 2012), sporadic local breeder in Mexico and Central America (BNA Brua 2002) so pop size there unknown but presumably relatively small, with 3,500 naturalized in Europe as of 1992 (but expanding, BNA Brua 2002), so no difference from global estimate given the uncertainty in the estimates",99,NA,"",NA,"bbs0514(BBS), eBrd17(WHem), PIF(Glob)",1,7522493,"Natureserve, with Old World extrapolation","",1,6046492,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC","",3,"TrUST 2016","3 for TB seems appropriate, similar to Redhead. Most similar to LESC in migration. Change winter score to 2, no discernible threats (TrUST 2016).",2,"TrUST 2016","3 for TB seems appropriate, similar to Redhead. Most similar to LESC in migration. Change winter score to 2, no discernible threats (TrUST 2016).",1,"BBS7017","Rosenberg 2019: increasing BBS trend looks solid (458 routes), and increases in most BCRs",1.719,"BBS7017",0.97,2.48,1.278,2.171,1.579,458,119.322656,54.1253335,220.5348311,NA,8,7,8,"","LC","","","Nearctic","Widespread","Wetlands—Seasonally Wet Grasslands","Wetlands—Freshwater Marsh","Wetlands—Lakes and Rivers","Coasts—Marine Waters",1777,"Oxyura jamaicensis","Ruddy Duck","Oxyura jamaicensis","Oxyura jamaicensis","Oxyura jamaicensis","YES","YES","YES","","","","Anseriformes","Anatidae","Oxyura","jamaicensis","LC","0","NO",0,"LN",2,2,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,"","Wetland",2,"Non-forest",3,"Invertebrate","9","","","1","","","","T","","W","",NA,NA,NA,9,1,"CP","G,W,Z","","",NA,5,15,8,24,26,50,55,5,1,NA,NA,NA,NA,1.5,"13.6",0.62,1.51,12.99,3.86,"(Gmelin, 1789)"
"54",83,"Ortalis vetula",-92.81910808,19.19050374,-92.81910808,19.19050374,0,60323,60323,60323,0,"Plain Chachalaca","Ortalis vetula","landbird","Galliformes","Cracidae","",0,1,1,1,"R",NA,NA,3,"PIFTC-02–PS-g midpoint","can't use BBS-15 estimate of 900 US/Canada, 8000 globally, since based on just 1 BBS route (PIFSC-18).","2,000,000",2000000,"<2,500",2500,NA,"PIFSC-16","Bentsen alone has 150-200 at one feeding station.  Becoming an urban bird in cities with mature forest. (M Gustafson)",100,11.35976887,"0.125",0.125,"PIFTC-02; PIFSC-16",3,600842,"Natureserve 3.0","",3,600842,"Natureserve 3.0","",2,"PIFTC-02","widespread and not as highly threatened below U.S. border; edge bird.  But gets hunted out fast; tolerant of disturbance during breeding season (MX-NSAC).  see previous comment about hunting; seems to need at least areas of native habitat, even if disturbed -- do these not add up to ""moderate"" threats? (KVR)",2,"PIFTC-02","tolerant of disturbance",3,"MX-NSAC 2008","has declined in northern part of range (i.e., Tamp. thornscrub); PT=3 better overall (AP)",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,"","LC","yes","","Mesoamerica","Mesoamerica","Forests—Tropical Lowland Evergreen","","Forests—Tropical Lowland Evergreen","",286,"Ortalis vetula","Plain Chachalaca","Ortalis vetula","Ortalis vetula","Ortalis vetula","YES","YES","YES","","","Common/Mexican/Eastern Chachalaca; Northern Chachalaca (mccallii); Utila Chachalaca (deschauenseei)","Galliformes","Cracidae","Ortalis","vetula","LC","0","NO",0,"L",2,1,594.8,2,NA,NA,1,NA,NA,NA,NA,NA,3,4,5,NA,NA,"","Shrub",5,"Low",3,"Fruit","T","7","","","","","","3","","C-H","",NA,NA,NA,0,10,"","S,T","0.9","10",NA,2,4,3,22,27,NA,NA,NA,NA,NA,NA,NA,0.73,2,"8.8",0.76,1.67,13.51,4.8,"(Wagler, 1830)"
"55",84,"Ortalis cinereiceps",-82.36108486,10.71494024,-82.36108486,10.71494024,0,23633,23633,23633,0,"Gray-headed Chachalaca","Ortalis cinereiceps","landbird","Galliformes","Cracidae","Monotypic.",0,0,0,1,"R",NA,NA,3,"PIF CAW 2016","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",4,216356,"NatureServe","",4,216356,"NatureServe","",2,"PIF CAW 2014","plástica, no necesita bosque primario;",2,"PIF CAW 2014","",2,"PIF CAW 2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,"","LC","","","Gulf-Caribbean Lowlands","Gulf-Caribbean Lowlands","Forests—Tropical Lowland Evergreen","","Forests—Tropical Lowland Evergreen","",294,"Ortalis cinereiceps","Grey-headed Chachalaca","Ortalis cinereiceps","Ortalis cinereiceps","Ortalis cinereiceps","YES","YES","YES","","","Grey-headed Chachalaca","Galliformes","Cracidae","Ortalis","cinereiceps","LC","0","NO",0,"L",1,1,515,5,NA,2,1,NA,NA,NA,NA,NA,3,4,NA,NA,NA,"","Shrub",5,"Low",3,"Fruit","T","8","","","","","","2","","All Layers","",NA,NA,NA,0,10,"PL","S,T","0.9","2.4",NA,3,3,3,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.75,1.63,12.76,4.28,"Grey, 1867"
"56",86,"Ortalis wagleri",-107.15061867,25.20665872,-107.15061867,25.20665872,0,11406,11406,11406,0,"Rufous-bellied Chachalaca","Ortalis wagleri","landbird","Galliformes","Cracidae","Monotypic.",0,0,1,0,"R",NA,NA,4,"Gomez-Panjabi","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",4,114255,"Natureserve 3.0","",4,114255,"Natureserve 3.0","",3,"MX-NSAC","",3,"MX-NSAC","moderate habitat loss",4,"Mexican Regional Assessment 2005","go with regional score",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,"Watch List - Yel-R","LC","","","Mesoamerican Pacific Lowlands","Mesoamerican Pacific Lowlands","Forests—Tropical Dry","","Forests—Tropical Dry","",306,"Ortalis wagleri","Rufous-bellied Chachalaca","Ortalis wagleri","Ortalis wagleri","Ortalis wagleri","YES","YES","YES","","","Wagler's Chachalaca","Galliformes","Cracidae","Ortalis","wagleri","LC","0","YES",0,"L",2,1,834,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,4,NA,NA,"","Forest",4,"Medium",1,"Fruit","","10","","","","","","","","C-H","",NA,NA,NA,0,10,"","T","1","",NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.78,1.81,14.92,4.92,"Grey, 1867"
"57",87,"Ortalis poliocephala",-100.66560139,18.38405539,-100.66560139,18.38405539,0,20007,20007,20007,0,"West Mexican Chachalaca","Ortalis poliocephala","landbird","Galliformes","Cracidae","Monotypic.",0,0,1,0,"R",NA,NA,4,"Gomez-Panjabi","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",4,200662,"Natureserve 3.0","",4,200662,"Natureserve 3.0","",3,"MX-NSAC","global score should reflect regional experts' opinion.",3,"MX-NSAC","tolerant of disturbance",4,"MX-NSAC-12","MX endemic, both regions score PT=4",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,"Watch List - Yel-R","LC","","","Mesoamerican Pacific Lowlands","Mesoamerican Pacific Lowlands","Forests—Tropical Dry","","Forests—Tropical Dry","",307,"Ortalis poliocephala","West Mexican Chachalaca","Ortalis poliocephala","Ortalis poliocephala","Ortalis poliocephala","YES","YES","YES","","","","Galliformes","Cracidae","Ortalis","poliocephala","LC","0","YES",0,"L",1,1,760,1,NA,3,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"","Forest",4,"Medium",4,"Herbivore","T","2","","4","","","","4","","C-H","",NA,NA,NA,0,10,"PL","","1","5",NA,2,3,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,"8.8",0.73,1.41,12.84,3.86,"(Wagler, 1830)"
"58",88,"Ortalis leucogastra",-89.06710028,13.66056811,-89.06710028,13.66056811,0,5740,5740,5740,0,"White-bellied Chachalaca","Ortalis leucogastra","landbird","Galliformes","Cracidae","Monotypic.",0,0,1,1,"R",NA,NA,4,"Gomez-Panjabi.  PIF CAW 2016","rango muy pequeño, se encuentra en cafetales. Es dificil de encontrar. Hay lugares en El Salvador donde es abundante (CAW);","",NA,"",NA,NA,"","",NA,NA,"",NA,"",5,57397,"Natureserve 3.0","",5,57397,"Natureserve 3.0","",3,"MX-NSAC","global score should reflect regional experts' opinion.",3,"MX-NSAC","tolerant of disturbance",3,"PIF CAW 2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,"Watch List - Yel-R","LC","","","Mesoamerican Pacific Lowlands","Mesoamerican Pacific Lowlands","Forests—Tropical Lowland Evergreen","Forests—Tropical Dry","Forests—Tropical Lowland Evergreen","Forests—Tropical Dry",312,"Ortalis leucogastra","White-bellied Chachalaca","Ortalis leucogastra","Ortalis leucogastra","Ortalis leucogastra","YES","YES","YES","","","","Galliformes","Cracidae","Ortalis","leucogastra","LC","0","NO",0,"L",1,1,499.5,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"","Forest",3,"Medium",3,"Fruit","1","6","","","","","","3","","H","",NA,NA,NA,1,9,"PL","T","5","20",NA,2,3,NA,22,26,NA,NA,NA,NA,NA,NA,NA,NA,1.25,"8.8",0.77,1.7,13.26,4.51,"(Gould, 1843)"
"59",89,"Penelope purpurascens",-85.36436662,13.06077314,-85.36436662,13.06077314,0,126943,126943,126943,0,"Crested Guan","Penelope purpurascens","landbird","Galliformes","Cracidae","",0,0,1,1,"R",NA,NA,4,"PIF CAW 2016","rango muy amplio, sujeto a mucha cacería. En el área volcanica es común. (CAW); score change from 5 to 4 recommended by Central Americans in 2016","",NA,"",NA,NA,"","",NA,NA,"",NA,"",2,1220177,"Natureserve 3.0","",2,1220177,"Natureserve 3.0","",4,"MX-NSAC","",4,"MX-NSAC","hunting, moderate habitat loss",5,"PIF CAW 2014","extirpated from much of central american range; most Mexican regions score PT=5",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,"Watch List - Yel-D","LC","","","Mesoamerica","Mesoamerica","Forests—Tropical Lowland Evergreen","Forests—Tropical Dry","Forests—Tropical Lowland Evergreen","Forests—Tropical Dry",357,"Penelope purpurascens","Crested Guan","Penelope purpurascens","Penelope purpurascens","Penelope purpurascens","YES","YES","YES","","","Purple/Purplish Guan","Galliformes","Cracidae","Penelope","purpurascens","LC","0","NO",0,"L",1,2,2025,1,NA,NA,3,NA,NA,NA,NA,NA,4,2,NA,NA,NA,"","Forest",4,"High",4,"Fruit","T","6","","2","","","","2","","All Layers","",NA,NA,3,0,10,"PL","C,S,T","","",NA,2,3,2,26,NA,NA,NA,NA,NA,1,NA,NA,NA,2,"",0.85,2.61,23.57,7.68,"Wagler, 1830"
"60",90,"Chamaepetes unicolor",-83.18917604,9.43180301,-83.18917604,9.43180301,0,1557,1557,1557,0,"Black Guan","Chamaepetes unicolor","landbird","Galliformes","Cracidae","Monotypic.",0,0,0,1,"R",NA,NA,4,"PIF CAW 2016","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",5,19159,"NatureServe","",5,19159,"NatureServe","",3,"PIF CAW 2014","",3,"PIF CAW 2014","migrante altitudinal pero su tendencía es estable",3,"PIF CAW 2014","afectado por cacería",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15,"Watch List - Yel-R","LC","","","Central and South American Highlands","Central and South American Highlands","Forests—Tropical Montane Evergreen","","Forests—Tropical Montane Evergreen","",388,"Chamaepetes unicolor","Black Guan","Chamaepetes unicolor","Chamaepetes unicolor","Chamaepetes unicolor","YES","YES","YES","","","Black Sickle-winged Guan","Galliformes","Cracidae","Chamaepetes","unicolor","LC","1","NO",0,"L",1,1,1135,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","Forest",3,"Medium",2,"Fruit","","8","","","","","","2","","All Layers","",NA,NA,NA,0,10,"PL","T","4.5","",NA,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",0.83,2.71,20.72,7,"Salvin, 1867"
"61",91,"Penelopina nigra",-90.19441884,15.23573695,-90.19441884,15.23573695,0,10325,10325,10325,0,"Highland Guan","Penelopina nigra","landbird","Galliformes","Cracidae","Monotypic.",0,0,1,1,"R",NA,NA,5,"Gomez-Panjabi.  PIF CAW 2016","esta presente en bosques nublados, se puede convertir en común si está protegido (CAW);","",NA,"",NA,NA,"","",NA,NA,"",NA,"",4,98090,"Natureserve 3.0","",4,98090,"Natureserve 3.0","",5,"MX-NSAC","",5,"MX-NSAC","primary forest",4,"PIF CAW 2014","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,18,"Watch List - Red","VU","","","Mesoamerican Highlands","Mesoamerican Highlands","Forests—Tropical Montane Evergreen","","Forests—Tropical Montane Evergreen","",395,"Penelopina nigra","Highland Guan","Penelopina nigra","Penelopina nigra","Penelopina nigra","YES","YES","YES","","","Black Chachalaca, Black Pajuil, Black Guan(!), Little Guan, Penelopina","Galliformes","Cracidae","Penelopina","nigra","VU","0","NO",0,"L",1,1,890,1,NA,3,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,"","Forest",4,"High",3,"Fruit","","8","","","T","","","2","","All Layers","",NA,NA,NA,0,10,"SC","G,S,T","0","13",NA,2,2,2,25,35,NA,NA,NA,NA,1,NA,NA,NA,NA,"",0.83,2.68,20.75,7.05,"(Fraser, 1852)"
"62",92,"Oreophasis derbianus",-91.32234809,15.23863177,-91.32234809,15.23863177,0,3101,3101,3101,0,"Horned Guan","Oreophasis derbianus","landbird","Galliformes","Cracidae","Monotypic.",0,0,1,1,"R",NA,NA,5,"Gomez-Panjabi","","",NA,"",NA,NA,"","",NA,NA,"",NA,"",5,45420,"Natureserve 3.0","",5,45420,"Natureserve 3.0","",5,"MX-NSAC","",5,"MX-NSAC","habitat loss, hunting, capture for trade",5,"PIF CAW 2014","greater habitat loss in Guatemala; BirdLife states that populations have declined severely during 20th century and the loss and degradation of cloud-forest has caused the disappearance of the species from Cuilco, San Sebastian Coatan and the municipal area of San Pedro Soloma",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,20,"Watch List - Red","EN","","","Mesoamerican Highlands","Mesoamerican Highlands","Forests—Tropical Montane Evergreen","","Forests—Tropical Montane Evergreen","",396,"Oreophasis derbianus","Horned Guan","Oreophasis derbianus","Oreophasis derbianus","Oreophasis derbianus","YES","YES","YES","","","Derby's Guan, Lord Derby's Mountain Pheasant","Galliformes","Cracidae","Oreophasis","derbianus","EN","0","NO",0,"L",1,1,2074,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Forest",1,"High",3,"Fruit","T","7","","","","","","3","","H-G","",NA,NA,NA,0,10,"CP","T","16.7","24.1",NA,2,2,NA,34,36,NA,NA,NA,NA,1,NA,NA,NA,1,"",0.89,3.08,23.1,9.13,"Grey, 1844"
