species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Amaurolimnas concolor,Uniform Crake,Amaurolimnas concolor,R,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Lowland Evergreen,Wetlands—Forested,Forests—Tropical Lowland Evergreen,Wetlands—Forested,5669,Amaurolimnas concolor,Uniform Crake,Amaurolimnas concolor,Amaurolimnas concolor,Amaurolimnas concolor
Porzana carolina,Sora,Porzana carolina,M,NA,0.513,BBS7017,0.12,0.89,Nearctic,Nearctic,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,Coasts—Saltmarsh,5843,Porzana carolina,Sora,Porzana carolina,Porzana carolina,Porzana carolina
Hapalocrex flaviventer,Yellow-breasted Crake,Hapalocrex flaviventer,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,5961,Hapalocrex flaviventer,Yellow-breasted Crake,Laterallus flaviventer,Hapalocrex flaviventer,Hapalocrex flaviventer
Neocrex colombiana,Colombian Crake,Neocrex colombiana,R,NA,NA,,NA,NA,Trans-Andean Lowlands,Trans-Andean Lowlands,Grasslands—Tropical,Wetlands—Seasonally Wet Grasslands,Grasslands—Tropical,Wetlands—Seasonally Wet Grasslands,5650,Neocrex colombiana,Colombian Crake,Neocrex colombiana,Neocrex colombiana,Mustelirallus colombianus
Neocrex erythrops,Paint-billed Crake,Neocrex erythrops,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Grasslands—Tropical,Wetlands—Seasonally Wet Grasslands,Grasslands—Tropical,Wetlands—Seasonally Wet Grasslands,5647,Neocrex erythrops,Paint-billed Crake,Neocrex erythrops,Neocrex erythrops,Mustelirallus erythrops
Pardirallus maculatus,Spotted Rail,Pardirallus maculatus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,5654,Pardirallus maculatus,Spotted Rail,Pardirallus maculatus,Pardirallus maculatus,Pardirallus maculatus
Porphyrio martinicus,Purple Gallinule,Porphyrio martinicus,PM,NA,-1.948,BBS7017,-3.73,0.03,Widespread,Neotropical,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,5906,Porphyrio martinicus,Purple Gallinule,Porphyrio martinica,Porphyrio martinicus,Porphyrio martinica
Gallinula galeata,Common Gallinule,Gallinula galeata,PM,NA,-1.149,BBS7017*,-1.97,-0.34,Widespread,Widespread,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,5859,Gallinula galeata,Common Gallinule,Gallinula galeata,Gallinula galeata,Gallinula galeata
Fulica americana,American Coot,Fulica americana,PM,NA,0.165,BBS7017,-0.44,0.74,Nearctic,Widespread,Wetlands—Freshwater Marsh,,Wetlands—Lakes and Rivers,Coasts—Saltmarsh,5896,Fulica americana,American Coot,Fulica americana,Fulica americana,Fulica americana
Heliornis fulica,Sungrebe,Heliornis fulica,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Lakes and Rivers,,Wetlands—Lakes and Rivers,,5588,Heliornis fulica,Sungrebe,Heliornis fulica,Heliornis fulica,Heliornis fulica
Aramus guarauna,Limpkin,Aramus guarauna,R,NA,-1.6127024,CBC7017*,-5.1796696,1.8019401,Neotropical,Neotropical,Wetlands—Lakes and Rivers,Wetlands—Freshwater Marsh,Wetlands—Lakes and Rivers,Wetlands—Freshwater Marsh,6149,Aramus guarauna,Limpkin,Aramus guarauna,Aramus guarauna,Aramus guarauna
Antigone canadensis,Sandhill Crane,Antigone canadensis,M,NA,5.11,BBS7017,4.55,5.65,Nearctic,Nearctic,Wetlands—Generalist,,Wetlands—Generalist,,6123,Antigone canadensis,Sandhill Crane,Antigone canadensis,Antigone canadensis,Antigone canadensis
Grus americana,Whooping Crane,Grus americana,M,NA,NA,,NA,NA,Northern Forest,Eastern Temperate,Wetlands—Boreal,Wetlands—Freshwater Marsh,Coasts—Saltmarsh,Wetlands—Freshwater Marsh,6142,Grus americana,Whooping Crane,Grus americana,Grus americana,Grus americana
Burhinus bistriatus,Double-striped Thick-knee,Burhinus bistriatus,R,NA,NA,,NA,NA,Neotropical,Neotropical,Grasslands—Tropical,,Grasslands—Tropical,,6338,Burhinus bistriatus,Double-striped Thick-knee,Burhinus bistriatus,Burhinus bistriatus,Burhinus bistriatus
Recurvirostra americana,American Avocet,Recurvirostra americana,M,NA,0.538,BBS7017,-0.34,1.37,Great Plains,Nearctic,Wetlands—Freshwater Marsh,,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,6405,Recurvirostra americana,American Avocet,Recurvirostra americana,Recurvirostra americana,Recurvirostra americana
Haematopus palliatus,American Oystercatcher,Haematopus palliatus,PM,NA,1.0212692,CBC7017*,0.1565908,1.7792598,Widespread,Widespread,Coasts—Beach and Estuary,,Coasts—Beach and Estuary,,6362,Haematopus palliatus,American Oystercatcher,Haematopus palliatus,Haematopus palliatus,Haematopus palliatus
Vanellus chilensis,Southern Lapwing,Vanellus chilensis,R,NA,NA,,NA,NA,Neotropical,Neotropical,Open Country—Developed/Disturbed,,Open Country—Developed/Disturbed,,6450,Vanellus chilensis,Southern Lapwing,Vanellus chilensis,Vanellus chilensis,Vanellus chilensis
Pluvialis squatarola,Black-bellied Plover,Pluvialis squatarola,M,NA,-1.59,Mig7416,-3.3,-0.303,Arctic,Widespread,Wetlands—Tundra,Tundra—Arctic,Coasts—Beach and Estuary,,6469,Pluvialis squatarola,Grey Plover,Pluvialis squatarola,Pluvialis squatarola,Pluvialis squatarola
Pluvialis dominica,American Golden-Plover,Pluvialis dominica,M,NA,-1.88,Mig7416,-3.63,-0.364,Arctic,Temperate South America,Tundra—Arctic,,Grasslands—Pampas and Campos,,6467,Pluvialis dominica,American Golden Plover,Pluvialis dominica,Pluvialis dominica,Pluvialis dominica
Pluvialis fulva,Pacific Golden-Plover,Pluvialis fulva,M,NA,-1.729372,BBS9317,-6.225773,3.848401,Arctic,Paleotropical,Wetlands—Tundra,,Coasts—Beach and Estuary,,6465,Pluvialis fulva,Pacific Golden Plover,Pluvialis fulva,Pluvialis fulva,Pluvialis fulva
Charadrius vociferus,Killdeer,Charadrius vociferus,PM,NA,-0.966,BBS7017,-1.06,-0.87,Nearctic,Widespread,Open Country—Habitat Mosaic,Wetlands—Generalist,Open Country—Habitat Mosaic,Wetlands—Generalist,6494,Charadrius vociferus,Killdeer,Charadrius vociferus,Charadrius vociferus,Charadrius vociferus
Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,M,NA,NA,,NA,NA,Arctic,Paleotropical,Wetlands—Tundra,,Coasts—Beach and Estuary,,6477,Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula
Charadrius semipalmatus,Semipalmated Plover,Charadrius semipalmatus,M,NA,-0.351,Mig7416,-1.95,0.78,Arctic,Widespread,Coasts—Beach and Estuary,Tundra—Arctic,Coasts—Beach and Estuary,,6481,Charadrius semipalmatus,Semipalmated Plover,Charadrius semipalmatus,Charadrius semipalmatus,Charadrius semipalmatus
Charadrius melodus,Piping Plover,Charadrius melodus,M,NA,-1.8636969,CBC7017,-2.9036511,-0.7543272,Eastern Temperate,Eastern Temperate,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,,6498,Charadrius melodus,Piping Plover,Charadrius melodus,Charadrius melodus,Charadrius melodus
Charadrius wilsonia,Wilson's Plover,Charadrius wilsonia,PM,NA,-1.9111647,CBC7017,-4.0641632,1.1595698,Widespread,Widespread,Coasts—Beach and Estuary,,Coasts—Beach and Estuary,,6488,Charadrius wilsonia,Wilson's Plover,Charadrius wilsonia,Charadrius wilsonia,Charadrius wilsonia
Charadrius collaris,Collared Plover,Charadrius collaris,R,NA,NA,,NA,NA,Neotropical,Neotropical,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,6538,Charadrius collaris,Collared Plover,Charadrius collaris,Charadrius collaris,Charadrius collaris
Charadrius montanus,Mountain Plover,Charadrius montanus,M,NA,-3.111,BBS7017,-4.93,-1.65,Great Plains,North American Southwest,Grasslands—Temperate,,Grasslands—Chihuahuan,,6558,Charadrius montanus,Mountain Plover,Charadrius montanus,Charadrius montanus,Charadrius montanus
Charadrius nivosus,Snowy Plover,Charadrius nivosus,PM,NA,0.3751849,CBC7017*,-0.4744132,1.2326376,Widespread,Widespread,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,Coasts—Beach and Estuary,,6527,Charadrius nivosus,Snowy Plover,Charadrius nivosus,Charadrius nivosus,Charadrius nivosus
Jacana spinosa,Northern Jacana,Jacana spinosa,R,NA,NA,,NA,NA,Mesoamerica,Mesoamerica,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,6584,Jacana spinosa,Northern Jacana,Jacana spinosa,Jacana spinosa,Jacana spinosa
Jacana jacana,Wattled Jacana,Jacana jacana,R,NA,NA,,NA,NA,South American Lowlands,South American Lowlands,Wetlands—Freshwater Marsh,,Wetlands—Freshwater Marsh,,6588,Jacana jacana,Wattled Jacana,Jacana jacana,Jacana jacana,Jacana jacana
Bartramia longicauda,Upland Sandpiper,Bartramia longicauda,M,NA,0.488,BBS7017,0.15,0.81,Great Plains,Temperate South America,Grasslands—Temperate,,Grasslands—Pampas and Campos,,6612,Bartramia longicauda,Upland Sandpiper,Bartramia longicauda,Bartramia longicauda,Bartramia longicauda
Numenius tahitiensis,Bristle-thighed Curlew,Numenius tahitiensis,M,NA,NA,,NA,NA,Arctic,Eastern Indo-Pacific,Tundra—Arctic,,Coasts—Beach and Estuary,,6613,Numenius tahitiensis,Bristle-thighed Curlew,Numenius tahitiensis,Numenius tahitiensis,Numenius tahitiensis
Numenius phaeopus,Whimbrel,Numenius phaeopus,M,NA,-2.12,Mig7416,-3.35,-1.23,Arctic,Widespread,Tundra—Arctic,Wetlands—Boreal,Coasts—Beach and Estuary,Coasts—Saltmarsh,6614,Numenius phaeopus,Whimbrel,Numenius phaeopus,Numenius phaeopus,Numenius phaeopus
Numenius borealis,Eskimo Curlew,Numenius borealis,M,NA,NA,,NA,NA,Arctic,Temperate South America,Tundra—Arctic,,Grasslands—Pampas and Campos,,6624,Numenius borealis,Eskimo Curlew,Numenius borealis,Numenius borealis,Numenius borealis
Numenius americanus,Long-billed Curlew,Numenius americanus,M,NA,0.048,BBS7017,-0.39,0.43,Great Plains,Nearctic,Grasslands—Temperate,,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,6625,Numenius americanus,Long-billed Curlew,Numenius americanus,Numenius americanus,Numenius americanus
Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,M,NA,NA,,NA,NA,Arctic,Paleotropical,Tundra—Arctic,,Coasts—Beach and Estuary,,6634,Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,Limosa lapponica,Limosa lapponica
Limosa haemastica,Hudsonian Godwit,Limosa haemastica,M,NA,-3.44,Mig7416,-9.31,1.36,Arctic,Temperate South America,Wetlands—Boreal,,Coasts—Beach and Estuary,,6644,Limosa haemastica,Hudsonian Godwit,Limosa haemastica,Limosa haemastica,Limosa haemastica
Limosa fedoa,Marbled Godwit,Limosa fedoa,M,NA,-0.68,BBS7017,-1.11,-0.31,Great Plains,Widespread,Wetlands—Seasonally Wet Grasslands,Wetlands—Tundra,Coasts—Beach and Estuary,,6645,Limosa fedoa,Marbled Godwit,Limosa fedoa,Limosa fedoa,Limosa fedoa
Arenaria interpres,Ruddy Turnstone,Arenaria interpres,M,NA,-4.66,Mig7416,-7.49,-2.68,Arctic,Widespread,Coasts—Tundra,Wetlands—Tundra,Coasts—Beach and Estuary,Coasts—Rocky Intertidal,6648,Arenaria interpres,Ruddy Turnstone,Arenaria interpres,Arenaria interpres,Arenaria interpres
Arenaria melanocephala,Black Turnstone,Arenaria melanocephala,M,NA,-0.4013389,CBC7017,-1.2055457,0.2375641,Arctic,Pacific North America,Coasts—Tundra,Tundra—Arctic,Coasts—Rocky Intertidal,,6651,Arenaria melanocephala,Black Turnstone,Arenaria melanocephala,Arenaria melanocephala,Arenaria melanocephala
Calidris canutus,Red Knot,Calidris canutus,M,NA,-5.67,Mig7416,-9.05,-2.91,Arctic,Widespread,Tundra—Arctic,,Coasts—Beach and Estuary,,6657,Calidris canutus,Red Knot,Calidris canutus,Calidris canutus,Calidris canutus
Calidris virgata,Surfbird,Calidris virgata,M,NA,-1.7002727,CBC7017,-3.4939247,-0.0696514,Arctic,Pacific North America,Tundra—Alpine,,Coasts—Rocky Intertidal,,6664,Calidris virgata,Surfbird,Calidris virgata,Calidris virgata,Calidris virgata
Calidris acuminata,Sharp-tailed Sandpiper,Calidris acuminata,M,NA,NA,,NA,NA,Arctic,Temperate Australasia,Wetlands—Tundra,,Coasts—Beach and Estuary,Wetlands—Seasonally Wet Grasslands,6669,Calidris acuminata,Sharp-tailed Sandpiper,Calidris acuminata,Calidris acuminata,Calidris acuminata
Calidris himantopus,Stilt Sandpiper,Calidris himantopus,M,NA,-1.5,Mig7416,-4.36,0.907,Arctic,Widespread,Wetlands—Tundra,Tundra—Arctic,Wetlands—Lakes and Rivers,Wetlands—Seasonally Wet Grasslands,6670,Calidris himantopus,Stilt Sandpiper,Calidris himantopus,Calidris himantopus,Calidris himantopus
Calidris alba,Sanderling,Calidris alba,M,NA,-3.33,Mig7416,-4.5,-2.38,Arctic,Widespread,Tundra—Arctic,Wetlands—Tundra,Coasts—Beach and Estuary,,6676,Calidris alba,Sanderling,Calidris alba,Calidris alba,Calidris alba
Calidris alpina,Dunlin,Calidris alpina,M,NA,-2.73,Mig7416,-5.08,-0.984,Arctic,Nearctic,Wetlands—Tundra,Coasts—Tundra,Coasts—Beach and Estuary,Wetlands—Seasonally Wet Grasslands,6679,Calidris alpina,Dunlin,Calidris alpina,Calidris alpina,Calidris alpina
Calidris ptilocnemis,Rock Sandpiper,Calidris ptilocnemis,PM,NA,-2.7783079,CBC7017,-6.715171,1.1216928,Arctic,Pacific North America,Tundra—Arctic,Wetlands—Tundra,Coasts—Rocky Intertidal,,6690,Calidris ptilocnemis,Rock Sandpiper,Calidris ptilocnemis,Calidris ptilocnemis,Calidris ptilocnemis
Calidris maritima,Purple Sandpiper,Calidris maritima,M,NA,-1.2309559,CBC7017,-2.8338243,0.7499296,Arctic,Eastern Temperate,Wetlands—Tundra,Tundra—Arctic,Coasts—Rocky Intertidal,,6696,Calidris maritima,Purple Sandpiper,Calidris maritima,Calidris maritima,Calidris maritima
Calidris bairdii,Baird's Sandpiper,Calidris bairdii,M,NA,1.32,Mig7416,-0.401,2.56,Arctic,Temperate South America,Tundra—Arctic,,Grasslands—Pampas and Campos,Wetlands—Lakes and Rivers,6697,Calidris bairdii,Baird's Sandpiper,Calidris bairdii,Calidris bairdii,Calidris bairdii
Calidris minutilla,Least Sandpiper,Calidris minutilla,M,NA,-0.188,Mig7416,-2.4,1.5,Arctic,Widespread,Wetlands—Tundra,,Coasts—Beach and Estuary,Wetlands—Generalist,6699,Calidris minutilla,Least Sandpiper,Calidris minutilla,Calidris minutilla,Calidris minutilla
Calidris fuscicollis,White-rumped Sandpiper,Calidris fuscicollis,M,NA,1.27,Mig7416,-2.73,4.24,Arctic,Temperate South America,Wetlands—Tundra,,Coasts—Beach and Estuary,Wetlands—Lakes and Rivers,6700,Calidris fuscicollis,White-rumped Sandpiper,Calidris fuscicollis,Calidris fuscicollis,Calidris fuscicollis
Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,M,NA,1.78,Mig7416,-0.901,3.65,Arctic,Temperate South America,Tundra—Arctic,,Grasslands—Pampas and Campos,,6701,Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,Calidris subruficollis,Calidris subruficollis
Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,M,NA,-1.97,Mig7416,-4.03,-0.223,Arctic,Temperate South America,Wetlands—Tundra,,Grasslands—Pampas and Campos,Wetlands—Seasonally Wet Grasslands,6702,Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,Calidris melanotos,Calidris melanotos
Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla,M,NA,-3.08,Mig7416,-6.27,-0.379,Arctic,Neotropical,Wetlands—Tundra,,Coasts—Beach and Estuary,,6703,Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla,Calidris pusilla,Calidris pusilla
Calidris mauri,Western Sandpiper,Calidris mauri,M,NA,-0.4196439,CBC7017,-1.9697109,1.5307492,Arctic,Widespread,Wetlands—Tundra,,Coasts—Beach and Estuary,Wetlands—Seasonally Wet Grasslands,6704,Calidris mauri,Western Sandpiper,Calidris mauri,Calidris mauri,Calidris mauri
Limnodromus griseus,Short-billed Dowitcher,Limnodromus griseus,M,NA,-2.87,Mig7416,-7.44,0.839,Arctic,Widespread,Wetlands—Boreal,,Coasts—Beach and Estuary,,6708,Limnodromus griseus,Short-billed Dowitcher,Limnodromus griseus,Limnodromus griseus,Limnodromus griseus
Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,M,NA,-0.328,Mig7416,-4.58,3.07,Arctic,Widespread,Wetlands—Tundra,,Wetlands—Generalist,,6706,Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,Limnodromus scolopaceus,Limnodromus scolopaceus
Scolopax minor,American Woodcock,Scolopax minor,PM,NA,-0.8,SGS6817,NA,NA,Northern Forest,Eastern Temperate,Forests—Temperate Eastern,Forests—Boreal,Forests—Temperate Eastern,,6725,Scolopax minor,American Woodcock,Scolopax minor,Scolopax minor,Scolopax minor
Gallinago delicata,Wilson's Snipe,Gallinago delicata,PM,NA,0.329,BBS7017,0.07,0.6,Nearctic,Widespread,Wetlands—Generalist,,Wetlands—Generalist,,6755,Gallinago delicata,Wilson's Snipe,Gallinago delicata,Gallinago delicata,Gallinago delicata
Actitis macularius,Spotted Sandpiper,Actitis macularius,M,NA,-1.428,BBS7017,-1.74,-1.17,Nearctic,Widespread,Wetlands—Generalist,,Wetlands—Lakes and Rivers,,6775,Actitis macularius,Spotted Sandpiper,Actitis macularius,Actitis macularius,Actitis macularius
Tringa solitaria,Solitary Sandpiper,Tringa solitaria,M,NA,0.704,BBS7017,-1.08,2.23,Northern Forest,South American Lowlands,Wetlands—Boreal,,Wetlands—Lakes and Rivers,,6777,Tringa solitaria,Solitary Sandpiper,Tringa solitaria,Tringa solitaria,Tringa solitaria
Tringa incana,Wandering Tattler,Tringa incana,M,NA,-4.3256291,CBC7017,-4.9334019,-3.7994083,Arctic,Pacific North America,Tundra—Alpine,Wetlands—Tundra,Coasts—Beach and Estuary,,6780,Tringa incana,Wandering Tattler,Tringa incana,Tringa incana,Tringa incana
Tringa flavipes,Lesser Yellowlegs,Tringa flavipes,M,NA,-2.76,Mig7416,-4.98,-0.915,Northern Forest,Widespread,Wetlands—Boreal,,Wetlands—Generalist,,6782,Tringa flavipes,Lesser Yellowlegs,Tringa flavipes,Tringa flavipes,Tringa flavipes
Tringa semipalmata,Willet,Tringa semipalmata,M,NA,-0.558,BBS7017,-0.89,-0.23,Nearctic,Widespread,Wetlands—Seasonally Wet Grasslands,Coasts—Saltmarsh,Coasts—Beach and Estuary,Coasts—Saltmarsh,6783,Tringa semipalmata,Willet,Tringa semipalmata,Tringa semipalmata,Tringa semipalmata
Tringa melanoleuca,Greater Yellowlegs,Tringa melanoleuca,M,NA,0.547,Mig7416,-1.42,1.87,Northern Forest,Widespread,Wetlands—Boreal,,Wetlands—Generalist,,6800,Tringa melanoleuca,Greater Yellowlegs,Tringa melanoleuca,Tringa melanoleuca,Tringa melanoleuca
Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,M,NA,NA,,NA,NA,Arctic,Tropical Eastern Pacific,Wetlands—Tundra,,Oceans—Pelagic,Coasts—Marine Waters,6772,Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,Phalaropus lobatus,Phalaropus lobatus
Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,M,NA,NA,,NA,NA,Arctic,Widespread,Wetlands—Tundra,,Oceans—Pelagic,Coasts—Marine Waters,6773,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,Phalaropus fulicarius,Phalaropus fulicarius
Stercorarius pomarinus,Pomarine Jaeger,Stercorarius pomarinus,M,NA,NA,,NA,NA,Arctic,Widespread,Wetlands—Tundra,,Oceans—Pelagic,,7157,Stercorarius pomarinus,Pomarine Jaeger,Stercorarius pomarinus,Stercorarius pomarinus,Stercorarius pomarinus
Stercorarius parasiticus,Parasitic Jaeger,Stercorarius parasiticus,M,NA,NA,,NA,NA,Arctic,Widespread,Wetlands—Tundra,Tundra—Arctic,Oceans—Pelagic,Coasts—Marine Waters,7158,Stercorarius parasiticus,Arctic Jaeger,Stercorarius parasiticus,Stercorarius parasiticus,Stercorarius parasiticus
Stercorarius longicaudus,Long-tailed Jaeger,Stercorarius longicaudus,M,NA,NA,,NA,NA,Arctic,Widespread,Tundra—Arctic,Tundra—Alpine,Oceans—Pelagic,,7159,Stercorarius longicaudus,Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius longicaudus,Stercorarius longicaudus
Alle alle,Dovekie,Alle alle,M,NA,-1.7384423,CBC7017*,-3.8962532,0.2848983,Arctic,Temperate Northern Atlantic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,Oceans—Pelagic,7162,Alle alle,Little Auk,Alle alle,Alle alle,Alle alle
Uria aalge,Common Murre,Uria aalge,PM,NA,-0.962159,CBC7017,-2.5671482,0.7155902,Nearctic,Nearctic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7170,Uria aalge,Common Murre,Uria aalge,Uria aalge,Uria aalge
Uria lomvia,Thick-billed Murre,Uria lomvia,PM,NA,-3.5511471,CBC7017*,-8.4025522,-0.1527961,Arctic,Temperate Northern Oceans,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7165,Uria lomvia,Thick-billed Murre,Uria lomvia,Uria lomvia,Uria lomvia
Alca torda,Razorbill,Alca torda,PM,NA,11.7342659,CBC7017,8.054718,15.6199788,Arctic,Temperate Northern Atlantic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7178,Alca torda,Razorbill,Alca torda,Alca torda,Alca torda
Cepphus grylle,Black Guillemot,Cepphus grylle,PM,NA,2.8700824,CBC7017*,0.7861477,5.6646173,Arctic,Eastern Temperate,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7182,Cepphus grylle,Black Guillemot,Cepphus grylle,Cepphus grylle,Cepphus grylle
Cepphus columba,Pigeon Guillemot,Cepphus columba,PM,NA,0.7952025,CBC7017*,-0.56804,2.1415053,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7188,Cepphus columba,Pigeon Guillemot,Cepphus columba,Cepphus columba,Cepphus columba
Brachyramphus marmoratus,Marbled Murrelet,Brachyramphus marmoratus,PM,NA,-0.4575414,CBC7017*,-1.71886,0.8115918,Pacific North America,Pacific North America,Forests—Temperate Western,Coasts—Marine Waters,Coasts—Marine Waters,,7195,Brachyramphus marmoratus,Marbled Murrelet,Brachyramphus marmoratus,Brachyramphus marmoratus,Brachyramphus marmoratus
Brachyramphus brevirostris,Kittlitz's Murrelet,Brachyramphus brevirostris,PM,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7199,Brachyramphus brevirostris,Kittlitz's Murrelet,Brachyramphus brevirostris,Brachyramphus brevirostris,Brachyramphus brevirostris
Synthliboramphus scrippsi,Scripps's Murrelet,Synthliboramphus scrippsi,PM,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7202,Synthliboramphus scrippsi,Scripps's Murrelet,Synthliboramphus scrippsi,Synthliboramphus scrippsi,Synthliboramphus scrippsi
Synthliboramphus hypoleucus,Guadalupe Murrelet,Synthliboramphus hypoleucus,PM,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7200,Synthliboramphus hypoleucus,Guadalupe Murrelet,Synthliboramphus hypoleucus,Synthliboramphus hypoleucus,Synthliboramphus hypoleucus
Synthliboramphus craveri,Craveri's Murrelet,Synthliboramphus craveri,PM,NA,NA,,NA,NA,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7204,Synthliboramphus craveri,Craveri's Murrelet,Synthliboramphus craveri,Synthliboramphus craveri,Synthliboramphus craveri
Synthliboramphus antiquus,Ancient Murrelet,Synthliboramphus antiquus,PM,NA,3.0059319,CBC7017*,1.347318,4.6331948,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7205,Synthliboramphus antiquus,Ancient Murrelet,Synthliboramphus antiquus,Synthliboramphus antiquus,Synthliboramphus antiquus
Ptychoramphus aleuticus,Cassin's Auklet,Ptychoramphus aleuticus,PM,NA,-0.458551,CBC7017*,-2.6746053,1.4949566,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7209,Ptychoramphus aleuticus,Cassin's Auklet,Ptychoramphus aleuticus,Ptychoramphus aleuticus,Ptychoramphus aleuticus
Aethia psittacula,Parakeet Auklet,Aethia psittacula,PM,NA,NA,,NA,NA,Arctic,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7212,Aethia psittacula,Parakeet Auklet,Aethia psittacula,Aethia psittacula,Aethia psittacula
Aethia pusilla,Least Auklet,Aethia pusilla,PM,NA,NA,,NA,NA,Arctic,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7213,Aethia pusilla,Least Auklet,Aethia pusilla,Aethia pusilla,Aethia pusilla
Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,PM,NA,NA,,NA,NA,Arctic,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7214,Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,Aethia pygmaea,Aethia pygmaea
Aethia cristatella,Crested Auklet,Aethia cristatella,PM,NA,NA,,NA,NA,Arctic,Temperate Northern Pacific,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7215,Aethia cristatella,Crested Auklet,Aethia cristatella,Aethia cristatella,Aethia cristatella
Cerorhinca monocerata,Rhinoceros Auklet,Cerorhinca monocerata,PM,NA,2.1739071,CBC7017*,1.0751252,3.3128017,Pacific North America,Pacific North America,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,,7216,Cerorhinca monocerata,Rhinoceros Auklet,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata
Fratercula arctica,Atlantic Puffin,Fratercula arctica,PM,NA,3.4544952,CBC7017,0.0205416,7.139087,Arctic,Temperate Northern Atlantic,Coasts—Cliffs and Islands,Coasts—Marine Waters,Coasts—Marine Waters,Oceans—Pelagic,7217,Fratercula arctica,Atlantic Puffin,Fratercula arctica,Fratercula arctica,Fratercula arctica
