species,CommonName,ScientificName,MigStatus,Introduced,trendyr,trendsource,lcl_90CI,ucl_90CI,BreedingBiome,NonbreedingBiome,PrimaryBreedingHabitat,SecondaryBreedingHabitat,PrimaryNonbreedingHabitat,SecondaryNonbreedingHabitat,IOC,LatinBirdLifeIOCClements,English,Gilletal2020IOCWorldBirdListv102,HBWandBirdLifeInternational2019,eBirdClementsChecklistv2019
Setophaga kirtlandii,Kirtland's Warbler,Setophaga kirtlandii,M,NA,NA,,NA,NA,Northern Forest,Caribbean,Forests—Temperate Eastern,,Forests—Tropical Dry,,35583,Setophaga kirtlandii,Kirtland's Warbler,Setophaga kirtlandii,Setophaga kirtlandii,Setophaga kirtlandii
Setophaga tigrina,Cape May Warbler,Setophaga tigrina,M,NA,-1.013,BBS7017,-2.43,0.1,Northern Forest,Caribbean,Forests—Boreal,,Islands—Terrestrial Habitats,,35584,Setophaga tigrina,Cape May Warbler,Setophaga tigrina,Setophaga tigrina,Setophaga tigrina
Setophaga cerulea,Cerulean Warbler,Setophaga cerulea,M,NA,-2.733,BBS7017,-3.16,-2.25,Eastern Temperate,Central and South American Highlands,Forests—Temperate Eastern,,Forests—Tropical Montane Evergreen,,35585,Setophaga cerulea,Cerulean Warbler,Setophaga cerulea,Setophaga cerulea,Setophaga cerulea
Setophaga americana,Northern Parula,Setophaga americana,M,NA,1.207,BBS7017,1.01,1.4,Eastern Temperate,Caribbean,Forests—Temperate Eastern,Forests—Boreal,Forests—Tropical Generalist,,35586,Setophaga americana,Northern Parula,Setophaga americana,Setophaga americana,Setophaga americana
Setophaga pitiayumi,Tropical Parula,Setophaga pitiayumi,PM,NA,NA,,NA,NA,Neotropical,Neotropical,Forests—Tropical Generalist,,Forests—Tropical Generalist,,35587,Setophaga pitiayumi,Tropical Parula,Setophaga pitiayumi,Setophaga pitiayumi,Setophaga pitiayumi
Setophaga magnolia,Magnolia Warbler,Setophaga magnolia,M,NA,0.637,BBS7017,0.12,1.09,Northern Forest,Gulf-Caribbean Lowlands,Forests—Boreal,Forests—Temperate Eastern,Open Country—Habitat Mosaic,,35603,Setophaga magnolia,Magnolia Warbler,Setophaga magnolia,Setophaga magnolia,Setophaga magnolia
Setophaga castanea,Bay-breasted Warbler,Setophaga castanea,M,NA,-0.476,BBS7017,-1.5,0.63,Northern Forest,Trans-Andean Lowlands,Forests—Boreal,,Forests—Tropical Lowland Evergreen,,35604,Setophaga castanea,Bay-breasted Warbler,Setophaga castanea,Setophaga castanea,Setophaga castanea
Setophaga fusca,Blackburnian Warbler,Setophaga fusca,M,NA,0.226,BBS7017,-0.11,0.61,Northern Forest,Central and South American Highlands,Forests—Boreal,Forests—Temperate Eastern,Forests—Tropical Montane Evergreen,,35605,Setophaga fusca,Blackburnian Warbler,Setophaga fusca,Setophaga fusca,Setophaga fusca
Setophaga petechia,Yellow Warbler,Setophaga petechia,M,NA,-0.626,BBS7017,-0.76,-0.49,Nearctic,Neotropical,Forests—Temperate Generalist,Wetlands—Generalist,Open Country—Habitat Mosaic,,35616,Setophaga petechia,American Yellow Warbler,Setophaga petechia,Setophaga petechia,Setophaga petechia
Setophaga pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica,M,NA,-1.173,BBS7017,-1.47,-0.86,Northern Forest,Gulf-Caribbean Lowlands,Forests—Boreal,Forests—Temperate Eastern,Forests—Tropical Lowland Evergreen,,35652,Setophaga pensylvanica,Chestnut-sided Warbler,Setophaga pensylvanica,Setophaga pensylvanica,Setophaga pensylvanica
